"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","31-Dec-11","547829"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","31-Dec-97","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","1-Jan-06","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","1-Jan-07","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","1-Jan-11","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","31-Dec-06","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","31-Dec-07","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Payable","31-Dec-11","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","1-Jan-06","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","1-Jan-07","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","1-Jan-11","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","31-Dec-06","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","31-Dec-07","0"
"20-1123333","BEN FARRELL MINSTRIES INC","Accounts Receivable","31-Dec-11","0"
